73.5021,34.2048,20180316,'2018-03-02'
73.5031,34.2053,20180316,'2018-03-02'
73.5113,4.1695,20180316,'2018-03-02'
73.517,4.1709,20180316,'2018-03-02'
73.5173,4.1718,20180316,'2018-03-02'
73.5174,4.1716,20180316,'2018-03-02'
73.5174,4.1778,20180316,'2018-03-02'
73.5175,4.1715,20180316,'2018-03-02'
73.5175,4.1716,20180316,'2018-03-02'
73.5176,4.1714,20180316,'2018-03-02'
73.5177,4.1737,20180316,'2018-03-02'
73.5178,4.1738,20180316,'2018-03-02'
73.5178,4.1739,20180316,'2018-03-02'
73.5179,4.1739,20180316,'2018-03-02'
73.5244,4.2006,20180316,'2018-03-02'
73.5248,4.2057,20180316,'2018-03-02'
73.5328,4.1889,20180316,'2018-03-02'
73.5343,4.1871,20180316,'2018-03-02'
73.5344,4.1871,20180316,'2018-03-02'
73.5345,4.1877,20180316,'2018-03-02'
73.5346,4.1876,20180316,'2018-03-02'
73.5348,4.1871,20180316,'2018-03-02'
73.5382,4.2176,20180316,'2018-03-02'
73.5415,4.2362,20180316,'2018-03-02'
73.5429,4.2086,20180316,'2018-03-02'
73.543,4.2496,20180316,'2018-03-02'
73.5431,4.2086,20180316,'2018-03-02'
73.5431,4.2494,20180316,'2018-03-02'
73.5434,4.2109,20180316,'2018-03-02'
73.5434,4.2497,20180316,'2018-03-02'
73.5435,4.2109,20180316,'2018-03-02'
73.5436,4.213,20180316,'2018-03-02'
73.5437,4.213,20180316,'2018-03-02'
73.5437,4.2131,20180316,'2018-03-02'
73.5438,4.2129,20180316,'2018-03-02'
73.5438,4.213,20180316,'2018-03-02'
73.5438,4.2332,20180316,'2018-03-02'
73.5439,4.2109,20180316,'2018-03-02'
73.5439,4.2129,20180316,'2018-03-02'
73.5439,4.213,20180316,'2018-03-02'
73.544,4.2128,20180316,'2018-03-02'
73.5444,4.2216,20180316,'2018-03-02'
73.5452,4.2498,20180316,'2018-03-02'
73.5455,4.2498,20180316,'2018-03-02'
73.5462,4.2495,20180316,'2018-03-02'
73.5464,4.2498,20180316,'2018-03-02'
73.5464,4.2499,20180316,'2018-03-02'
73.5464,4.25,20180316,'2018-03-02'
73.5465,4.25,20180316,'2018-03-02'
73.5472,4.2321,20180316,'2018-03-02'
73.5477,4.2359,20180316,'2018-03-02'
73.549,4.2335,20180316,'2018-03-02'
73.5492,4.2343,20180316,'2018-03-02'
73.582,55.016,20180316,'2018-03-02'
73.593,33.5955,20180316,'2018-03-02'
73.5935,33.5952,20180316,'2018-03-02'
73.5959,33.5954,20180316,'2018-03-02'
73.5962,33.5955,20180316,'2018-03-02'
73.601,33.5954,20180316,'2018-03-02'
73.6024,33.5923,20180316,'2018-03-02'
73.6024,33.5924,20180316,'2018-03-02'
73.6024,33.5951,20180316,'2018-03-02'
73.6025,33.5923,20180316,'2018-03-02'
73.6026,33.5924,20180316,'2018-03-02'
73.6124,33.6061,20180316,'2018-03-02'
73.6864,55.0178,20180316,'2018-03-02'
73.6896,55.0181,20180316,'2018-03-02'
73.6915,55.0179,20180316,'2018-03-02'
73.6919,55.0201,20180316,'2018-03-02'
73.6921,55.0201,20180316,'2018-03-02'
73.6922,55.02,20180316,'2018-03-02'
73.7159,34.4047,20180316,'2018-03-02'
73.7685,20.0048,20180316,'2018-03-02'
73.9056,31.6037,20180316,'2018-03-02'
73.9064,31.6037,20180316,'2018-03-02'
73.907,31.6035,20180316,'2018-03-02'
73.9072,31.6034,20180316,'2018-03-02'
73.9072,31.6036,20180316,'2018-03-02'
73.928,31.0373,20180316,'2018-03-02'
73.928,31.0374,20180316,'2018-03-02'
73.9284,31.038,20180316,'2018-03-02'
73.9286,31.0384,20180316,'2018-03-02'
73.9287,31.0341,20180316,'2018-03-02'
73.9287,31.0343,20180316,'2018-03-02'
73.9289,31.0383,20180316,'2018-03-02'
73.9918,39.7229,20180316,'2018-03-02'
74.0302,31.7018,20180316,'2018-03-02'
74.0303,31.703,20180316,'2018-03-02'
74.0322,31.702,20180316,'2018-03-02'
74.0456,31.7435,20180316,'2018-03-02'
74.0614,31.6931,20180316,'2018-03-02'
